id,actual,pred
2649068,65.0,71.955
22470605,75.0,63.085
13231961,99.0,107.892
18034890,105.0,98.935
34605049,42.0,54.154
39667910,99.0,127.894
38642150,145.0,140.107
38979552,108.0,173.122
36073384,70.0,71.757
22569493,180.0,107.709
28328473,50.0,61.948
35414687,250.0,260.374
2716009,200.0,200.695
33168966,125.0,223.135
6092865,82.0,95.467
39201177,89.0,86.73
263190,88.0,98.151
33913702,110.0,89.106
7856749,136.0,139.491
38382757,207.0,235.707
37329889,195.0,171.581
26520,125.0,112.115
26818747,70.0,116.177
1330753,95.0,121.295
10088612,60.0,61.443
34391029,250.0,265.596
276994,90.0,249.936
794567,82.0,68.106
37019982,129.0,172.736
21306457,65.0,94.109
16132114,33.0,44.586
28631359,89.0,116.834
18737235,229.0,143.973
39943462,150.0,263.131
34907479,106.0,109.368
35580805,120.0,97.426
39675262,299.0,274.561
36882448,75.0,59.36
30212163,30.0,63.488
38952271,55.0,68.434
26319688,79.0,55.373
20483744,120.0,123.274
4928303,65.0,59.688
40036942,50.0,73.839
1693028,50.0,68.419
767967,105.0,224.235
32820849,180.0,173.063
19241855,70.0,75.458
21958889,55.0,104.748
22099266,65.0,57.417
26779818,325.0,226.347
37746741,115.0,154.813
18460756,50.0,68.01
29907751,96.0,206.581
37654960,29.0,30.986
32302579,75.0,67.4
23901030,339.0,347.063
18813227,31.0,66.889
13444818,168.0,176.613
39152727,189.0,140.177
18358621,350.0,332.915
32634514,318.0,316.037
38617525,53.0,54.324
31961526,325.0,241.462
27195039,70.0,54.204
