id,actual,pred
28049805,65,148.405
30376690,119,113.674
30913224,80,73.123
39499892,65,82.111
22121342,58,64.17
38456744,150,171.618
6598624,110,91.389
13529652,105,105.933
27795234,35,45.581
38386202,182,164.693
35766933,80,67.306
10010845,90,156.821
35711402,100,118.639
33834288,111,178.858
31830700,69,59.899
14290760,120,109.113
32664528,55,63.835
35026161,150,162.753
31103559,65,55.753
1332612,52,79.183
19289198,90,127.023
27579698,339,339.838
17234955,190,182.549
20009122,130,99.92
22483110,100,133.364
19430239,50,60.974
15720498,111,80.123
30150357,85,169.287
21369271,70,66.818
20358824,60,44.409
33472719,140,137.831
36882448,75,73.773
32573052,63,72.562
22192616,99,113.588
888583,120,147.842
3613839,65,75.914
32241242,189,189.793
35422824,100,125.419
2590590,92,123.661
491123,102,81.659
21566103,133,143.074
30999134,35,73.041
35461885,47,45.697
38359837,115,155.028
36428186,80,125.204
38286609,150,110.552
39254047,165,205.143
1725295,85,94.157
29173351,60,82.486
34975935,175,245.506
38330175,80,93.424
13591017,145,195.377
25025533,223,185.584
35420277,189,215.992
16779548,35,55.463
12664893,73,85.492
8955750,140,126.507
1313340,75,72.857
21281051,150,122.624
2755909,59,67.345
32402674,60,64.441
29522531,31,58.327
36605523,79,106.116
12542485,180,161.712
29794702,85,111.042
38205875,65,62.029
36546812,34,29.922
39930973,165,291.75
39755759,199,175.672
20282044,45,51.546
22502171,60,108.32
11775483,35,84.315
39223598,55,77.807
35258943,89,153.45
23574142,65,93.72
21272115,75,77.282
34462649,65,48.751
33311237,165,150.011
22408376,37,55.221
14111092,69,82.385
31144697,350,330.254
39614353,40,66.292
38210489,215,211.432
28763093,175,196.593
28919421,60,56.719
15659743,125,127.774
28908909,150,119.093
37683584,59,69.655
29572267,35,68.446
37184047,130,116.431
728493,70,161.405
17844130,150,159.6
17843852,125,105.016
39945350,30,34.614
20053253,140,70.01
12493291,60,78.426
25669472,25,106.929
25905991,325,273.456
25370297,120,240.727
26743587,150,142.911
15188738,100,64.515
34542878,130,90.109
36753229,52,87.24
532749,280,221.873
28367352,65,60.924
31122807,200,256.993
32158769,68,125.336
7240563,90,115.29
34093881,250,293.899
26311285,37,31.323
16983203,47,48.208
651475,109,115.972
31286946,70,52.593
30565107,49,88.865
25781295,49,55.613
27855899,225,241.923
35192077,145,168.608
19986637,57,56.947
33829141,53,57.829
24782427,70,60.603
26160959,130,68.39
33069506,83,101.858
24603725,83,120.841
24313356,65,61.642
37360320,55,102.331
22065495,65,64.517
28346064,120,121.365
36846879,350,255.883
33340216,60,65.628
25771285,45,68.145
25464685,69,81.079
15178955,80,53.852
32984848,199,249.97
14028597,350,196.357
30954438,68,129.893
3800547,100,110.07
4813781,90,101.39
1917872,450,308.18
7498271,172,183.238
24370468,200,142.388
37630175,80,122.932
568743,151,241.569
38019993,285,245.693
16718498,75,84.383
15858847,164,150.996
27784070,55,49.776
25489254,65,68.378
28942802,140,176.738
159815,80,84.046
7859630,40,52.744
38573108,140,185.256
38980221,150,147.351
255024,220,211.839
10608951,45,55.075
6020237,155,132.696
30818914,185,140.137
39760037,229,313.18
2524213,38,45.885
38693410,99,139.185
39816725,39,58.474
3748684,275,188.83
20406627,80,60.585
39088231,200,172.423
33429773,230,190.06
27965802,30,57.215
21439155,51,76.589
292047,105,92.804
6056028,499,279.871
4715740,120,145.639
30232126,130,160.637
39108074,125,82.004
8507768,70,126.904
39859295,269,218.849
21883309,250,268.697
25893935,250,189.469
28154487,110,128.015
31121209,46,57.855
33907731,95,118.833
29117643,48,61.734
2942129,40,53.731
6539778,149,207.609
32590792,244,240.209
5396701,130,128.861
30311572,200,176.145
14071193,150,177.044
36449938,170,237.691
21730735,52,92.816
34682491,50,76.685
39074427,65,166.875
30948025,200,85.977
38206578,95,77.318
2635078,235,238.514
16843605,280,193.406
21549898,285,238.33
35713354,300,216.644
29343523,300,237.813
23451337,100,122.533
22406991,50,56.19
17118782,160,182.691
10009737,95,135.865
21981036,100,241.274
13606307,71,104.746
32554699,50,51.17
24137748,140,169.508
21592694,48,48.571
29034190,70,73.853
916311,100,148.013
28779900,46,52.169
36073384,70,67.13
31542692,105,108.828
18599352,125,130.141
35151658,75,76.831
11580884,50,59.178
30068829,179,163.056
28362311,99,123.296
6288004,90,86.047
24659877,80,87.716
32676186,100,144.414
7500571,102,109.233
20607819,172,255.743
35040098,134,138.215
4128428,250,240.754
38934198,75,83.677
9786543,60,58.45
28977135,175,196.819
40262991,90,192.403
16244553,85,76.041
33559960,135,113.188
652371,90,112.66
34737337,69,88.474
38598864,280,274.333
23696695,70,111.206
9489073,111,160.022
18934728,64,62.413
118061,102,130.256
21647932,29,43.856
9412522,189,127.945
32967988,65,81.928
9362344,60,75.424
35842999,220,240.744
24397502,91,78.491
20035645,69,96.373
33488044,260,205.514
28802019,200,169.146
22289683,20,81.556
9703075,107,118.444
2874695,100,56.859
28831635,149,136.477
37092906,247,232.972
20231480,80,80.039
18288371,195,209.837
6114353,89,102.25
18624243,130,123.861
2551532,176,159.962
11325107,145,164.254
21766776,225,345.71
19439956,250,168.225
10267034,99,57.975
10945985,160,149.645
18182318,250,163.911
12685533,76,82.116
808774,160,114.35
10617757,60,84.651
14711796,180,225.582
35675859,235,158.334
38958961,185,170.929
38593734,95,133.222
8068089,80,180.164
38554703,75,60.672
39756040,249,252.965
14386712,250,289.196
35642891,10,73.754
4349358,125,117.415
37915259,150,138.935
26305529,219,168.093
29301889,99,79.704
34608937,199,278.222
44288,170,209.022
16122441,160,114.619
22205280,140,100.473
30942778,19,38.703
13814281,35,50.887
20459818,165,208.278
17479736,50,82.048
1578776,51,76.926
23344293,52,58.872
32356850,95,178.023
39535241,350,265.216
63299,59,64.047
28312520,49,51.807
14926631,129,110.082
36901015,200,104.134
33398320,39,58.596
20279823,105,97.56
18737235,229,162.14
28561620,120,103.801
9331114,140,137.001
31814773,59,71.725
36223408,150,121.225
29881712,74,89.657
7017768,75,65.127
35610591,85,76.268
35010433,80,78.589
32241239,165,167.487
22489858,150,160.701
2824484,260,129.144
20187779,40,58.62
30579882,300,300.074
37856683,65,65.78
32961822,165,170.041
16423080,89,120.567
30978522,150,199.724
33065137,45,71.088
38977877,31,58.607
38387791,99,82.365
20763877,175,127.101
38288989,350,241.641
4412533,79,88.577
38844519,289,255.18
3139918,150,153.954
327778,106,194.06
35397567,98,121.551
31285092,140,167.256
38597992,199,217.319
3969415,179,170.492
292121,199,207.503
35565616,240,225.567
13981865,50,58.744
24206044,195,142.333
32479283,120,154.515
28340606,115,96.121
19695709,200,137.648
20233308,80,170.854
35832547,295,204.708
9434105,55,89.365
6576336,70,61.322
37538162,189,249.101
21768850,369,285.382
39504576,75,92.74
25895519,52,39.35
20433673,80,91.033
35869466,136,132.494
21577526,65,72.997
15971308,85,85.225
8327302,62,59.822
39952561,88,80.399
2659732,56,51.453
37884403,100,98.26
31089253,200,139.501
14549287,190,207.65
6654081,205,309.885
36224260,65,76.701
10207629,180,171.531
11490744,175,113.711
4538012,85,94.812
8275331,65,54.492
20689395,114,118.947
35768781,88,62.56
31218310,50,64.298
253839,249,254.183
18838643,76,101.396
13488308,199,207.192
37710142,70,74.046
22316072,299,244.889
33344785,250,219.801
2334411,145,170.998
36801374,55,71.344
21660113,30,43.004
16585566,35,83.51
1691188,200,267.382
28583260,165,106.012
30064378,103,108.116
39650425,110,148.504
29962534,50,79.799
36804922,180,198.151
33989681,150,139.764
2055671,200,205.289
26332143,55,59.727
38060662,90,103.63
39393260,110,151.153
39348262,69,107.54
3678064,55,56.079
31474431,49,58.1
20729174,95,145.287
34834104,160,55.747
6037761,163,130.198
15783413,115,236.793
24845976,120,122.155
35896695,45,94.842
4308612,125,220.445
7272530,65,70.811
36116045,60,71.607
28964166,275,170.46
8689608,100,82.242
2825322,50,64.452
11714323,300,286.714
31380105,60,62.283
26357377,200,164.406
32640289,202,213.37
36792660,178,238.322
24378358,299,329.924
30789463,185,173.709
32806789,200,183.652
30250766,138,104.443
10407723,150,172.683
39288788,300,132.008
38266909,125,151.208
38999548,165,225.739
14838160,65,63.171
32765985,36,29.679
29928630,60,56.888
4859903,255,179.568
13066577,129,215.605
36975376,200,160.879
29008767,134,135.143
8308683,65,123.185
31512324,48,56.371
38931289,79,66.552
34014432,100,104.314
31459956,55,56.812
17284471,75,166.838
23170592,40,48.574
24749018,250,237.786
36182794,299,278.585
13951959,325,284.649
27676268,85,60.891
40300360,88,180.062
29340021,150,106.33
35678147,65,61.417
7933257,120,122.433
24873530,45,73.892
35686594,90,192.465
16362150,100,123.37
10666314,117,151.315
26425032,59,66.765
26658494,150,133.924
33688029,69,58.86
31336245,39,42.456
26470810,92,79.965
37156713,300,257.403
80493,75,114.394
25616250,75,101.633
2254582,219,147.192
784170,100,83.733
19981649,199,189.698
26569512,55,56.94
30594607,160,80.466
35023304,145,107.273
16970733,155,191.864
28515078,150,173.438
28631359,89,130.883
543792,110,117.077
27707196,275,145.32
35179345,227,223.364
27131137,106,158.587
24539281,65,80.141
35169758,28,28.529
34543762,299,235.273
15178725,150,145.119
1918903,140,151.438
20089288,38,51.651
498859,169,201.531
34574929,160,185.253
11653081,150,200.826
39509810,80,63.716
10458099,45,53.639
34639878,110,64.04
30369286,225,174.648
28130741,104,105.042
29760452,85,64.236
21971593,50,64.205
35998531,300,169.758
20590743,140,141.889
26978889,46,56.272
31856192,99,66.22
38265563,70,86.332
17122054,115,128.922
9148875,150,166.202
27359897,45,49.548
8102012,148,197.956
20586070,275,291.997
12915038,85,96.503
19694951,50,80.361
21474885,75,68.545
20786225,88,68.743
67288,124,188.15
33618854,425,262.682
22761054,135,177.356
33127624,70,62.201
13117160,55,67.061
11453784,200,136.223
39923714,129,125.245
35684596,49,54.925
2806791,53,70.344
34676486,475,321.842
19702506,275,196.307
39759116,250,174.108
33168922,40,84.339
13169806,154,198.978
21431963,60,77.301
2178294,140,163.596
11352664,95,110.729
32816486,225,226.24
21851570,95,134.47
38000049,135,156.642
30882631,50,77.058
2976758,155,188.898
1330753,95,120.955
27681015,172,229.84
246938,154,227.934
12174580,325,201.34
212109,80,131.846
17456932,400,237.35
36662760,80,145.995
764753,82,153.415
27528267,79,89.179
28786315,60,55.288
11591798,110,171.188
25210171,95,117.545
10422950,69,105.579
21462551,85,65.87
25776914,25,50.32
473592,70,84.934
17477768,105,141.462
13532647,199,288.338
14539375,170,144.4
35043094,150,161.263
33664228,499,313.45
35069416,30,26.652
